seqname	type	start	end	strand	feature_id
Chr4	gene	1180	1536	-	AT4G00005
Chr4	gene	2895	10455	-	AT4G00020
Chr4	gene	11355	13359	-	AT4G00026
Chr4	gene	13527	14413	+	AT4G00030
Chr4	gene	14627	16079	+	AT4G00040
Chr4	gene	17792	20066	+	AT4G00050
Chr4	gene	21437	28871	+	AT4G00060
Chr4	gene	29671	31426	-	AT4G00070
Chr4	gene	32893	33718	+	AT4G00080
Chr4	gene	33800	33872	+	AT4G00085
Chr4	gene	34091	36880	+	AT4G00090
Chr4	gene	37084	38312	+	AT4G00100
Chr4	gene	38504	40189	-	AT4G00110
Chr4	gene	41665	43197	-	AT4G00120
Chr4	gene	45275	45370	-	AT4G00124
Chr4	gene	48266	49068	+	AT4G00130
Chr4	gene	51166	53449	-	AT4G00140
Chr4	gene	57199	59286	-	AT4G00150
Chr4	gene	63410	65479	+	AT4G00160
Chr4	gene	69273	69884	-	AT4G00165
Chr4	gene	70477	72211	-	AT4G00170
Chr4	gene	72552	75384	-	AT4G00180
Chr4	gene	80433	82040	-	AT4G00190
Chr4	gene	82445	84694	-	AT4G00200
Chr4	gene	85693	86895	-	AT4G00210
Chr4	gene	90036	92237	+	AT4G00220
Chr4	gene	93923	97454	+	AT4G00230
Chr4	gene	97499	99353	+	AT4G00231
Chr4	gene	100257	100721	-	AT4G00232
Chr4	gene	100919	101788	+	AT4G00234
Chr4	gene	103823	105217	-	AT4G00238
Chr4	gene	106380	110718	-	AT4G00240
Chr4	gene	112705	113966	-	AT4G00250
Chr4	gene	114971	117051	+	AT4G00260
Chr4	gene	117152	118577	-	AT4G00270
Chr4	gene	122409	122851	-	AT4G00280
Chr4	gene	122851	125591	-	AT4G00290
Chr4	gene	126509	130399	+	AT4G00300
Chr4	gene	131550	131930	+	AT4G00305
Chr4	gene	133643	135469	+	AT4G00310
Chr4	gene	137404	138888	+	AT4G00315
Chr4	gene	139939	141643	+	AT4G00320
Chr4	gene	142601	144523	-	AT4G00330
Chr4	gene	145904	148339	+	AT4G00335
Chr4	gene	148814	151686	+	AT4G00340
Chr4	gene	151733	151912	-	AT4G00342
Chr4	gene	151919	154130	+	AT4G00350
Chr4	gene	154705	156376	+	AT4G00355
Chr4	gene	160768	163023	+	AT4G00360
Chr4	gene	162897	166357	-	AT4G00370
Chr4	gene	167959	170974	+	AT4G00380
Chr4	gene	171497	172843	-	AT4G00390
Chr4	gene	174062	176853	-	AT4G00400
Chr4	gene	179022	179513	+	AT4G00416
Chr4	gene	181323	184387	-	AT4G00420
Chr4	gene	185450	187627	-	AT4G00430
Chr4	gene	193879	198579	+	AT4G00440
Chr4	gene	202416	211003	+	AT4G00450
Chr4	gene	211081	213697	-	AT4G00460
Chr4	gene	214846	216076	-	AT4G00467
Chr4	gene	216812	219743	-	AT4G00480
Chr4	gene	222320	225131	+	AT4G00490
Chr4	gene	225028	227396	-	AT4G00500
Chr4	gene	227694	231699	+	AT4G00520
Chr4	gene	231780	232939	+	AT4G00525
Chr4	gene	232928	233645	-	AT4G00530
Chr4	gene	234597	237582	-	AT4G00540
Chr4	gene	237967	240500	-	AT4G00550
Chr4	gene	240660	242379	-	AT4G00560
Chr4	gene	242515	246771	-	AT4G00570
Chr4	gene	248713	250258	+	AT4G00580
Chr4	gene	250955	252598	-	AT4G00585
Chr4	gene	252766	255054	+	AT4G00590
Chr4	gene	255320	256610	-	AT4G00600
Chr4	gene	256957	257943	-	AT4G00610
Chr4	gene	259028	261019	-	AT4G00620
Chr4	gene	261449	268050	-	AT4G00630
Chr4	gene	269026	271503	+	AT4G00650
Chr4	gene	271487	271879	-	AT4G00651
Chr4	gene	274257	278737	+	AT4G00660
Chr4	gene	278316	279186	-	AT4G00670
Chr4	gene	279596	280699	-	AT4G00680
Chr4	gene	281313	283129	+	AT4G00690
Chr4	gene	283914	285975	+	AT4G00695
Chr4	gene	286051	289514	+	AT4G00700
Chr4	gene	290048	293453	+	AT4G00710
Chr4	gene	293641	297314	-	AT4G00720
Chr4	gene	299359	304508	-	AT4G00730
Chr4	gene	307431	310482	-	AT4G00740
Chr4	gene	314353	317675	+	AT4G00750
Chr4	gene	317564	320895	-	AT4G00752
Chr4	gene	324982	327008	+	AT4G00755
Chr4	gene	327025	333477	-	AT4G00760
Chr4	gene	331157	333477	+	AT4G00770
Chr4	gene	334732	336344	+	AT4G00780
Chr4	gene	336945	345714	-	AT4G00800
Chr4	gene	345952	347199	-	AT4G00810
Chr4	gene	349116	351550	+	AT4G00820
Chr4	gene	352016	355233	+	AT4G00830
Chr4	gene	355258	357279	-	AT4G00840
Chr4	gene	357551	359194	+	AT4G00850
Chr4	gene	359315	360493	-	AT4G00860
Chr4	gene	362169	363691	-	AT4G00870
Chr4	gene	364147	364736	-	AT4G00872
Chr4	gene	366373	367274	-	AT4G00880
Chr4	gene	369856	369991	-	AT4G00885
Chr4	gene	373960	375350	-	AT4G00890
Chr4	gene	379793	381455	-	AT4G00893
Chr4	gene	381788	382643	+	AT4G00895
Chr4	gene	382663	386529	-	AT4G00900
Chr4	gene	387865	389113	+	AT4G00905
Chr4	gene	389370	391287	-	AT4G00910
Chr4	gene	393767	395382	+	AT4G00920
Chr4	gene	396558	400734	+	AT4G00930
Chr4	gene	403320	404810	-	AT4G00940
Chr4	gene	405673	407142	-	AT4G00950
Chr4	gene	412118	413327	+	AT4G00955
Chr4	gene	414361	416180	+	AT4G00960
Chr4	gene	418437	421694	+	AT4G00970
Chr4	gene	421973	423258	+	AT4G00975
Chr4	gene	422478	424588	-	AT4G00980
Chr4	gene	424717	424788	-	AT4G00985
Chr4	gene	426944	431821	+	AT4G00990
Chr4	gene	431963	433849	-	AT4G01000
Chr4	gene	434569	437242	-	AT4G01010
Chr4	gene	439086	445168	+	AT4G01020
Chr4	gene	445844	446720	+	AT4G01023
Chr4	gene	447052	448511	+	AT4G01026
Chr4	gene	447941	450642	-	AT4G01030
Chr4	gene	451251	453243	-	AT4G01037
Chr4	gene	453369	455548	+	AT4G01040
Chr4	gene	455768	458510	+	AT4G01050
Chr4	gene	460472	461085	+	AT4G01060
Chr4	gene	461592	463556	-	AT4G01070
Chr4	gene	466391	468294	-	AT4G01080
Chr4	gene	470515	473792	-	AT4G01090
Chr4	gene	477141	479936	+	AT4G01100
Chr4	gene	479963	481160	-	AT4G01110
Chr4	gene	481597	484483	-	AT4G01120
Chr4	gene	485833	488007	+	AT4G01130
Chr4	gene	490749	492199	-	AT4G01140
Chr4	gene	493548	494850	+	AT4G01150
Chr4	gene	494976	497006	-	AT4G01160
Chr4	gene	499497	500831	+	AT4G01170
